name,brand,cuisine,lat,lon,state,source
The OG,,pizza;pasta,-34.315913,115.15922,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Two Oceans Fish And Chips,,fish_and_chips,-34.316069,115.159926,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,burger,-34.201202,115.099957,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-35.01981,117.883361,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-35.015102,117.874802,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-35.020069,117.88334,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-35.018698,117.88083,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mad Fish & Chips,,fish_and_chips,-34.959735,117.356028,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sia's Kitchen,,chinese,-35.025357,117.883829,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Albany Fish & Chips,,,-35.017116,117.87758,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hooked Fish & Chips,,,-35.025337,117.913626,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-35.019056,117.885209,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-35.017328,117.883847,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-35.004348,117.865728,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-35.015386,117.880326,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,fish_and_chips,-35.02036,117.884105,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,pizza,-35.02049,117.883985,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-34.240618,116.145166,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-34.239945,116.147584,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Cibo Paradise,,pizza,-34.241329,116.144779,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Go Fresh Fish,,fish_and_chips,-34.238837,116.149114,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Istanbul Kebabs,,,-35.024379,117.883389,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Turkish Bakery,,kebab,-35.024336,117.883384,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Noodler's,,asian,-35.024292,117.883385,Western Australia,OpenStreetMap amenity=fast_food via Overpass
O'BA-SAN,,sushi,-35.024257,117.883378,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Denmark Kebab & Gozleme House,,kebab,-34.959661,117.354808,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-35.018742,117.881894,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pizza Capers,Pizza Capers,pizza,-35.018694,117.881827,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Quinninup Tavern,,,-34.436422,116.250081,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Frankland River Cafe,,,-34.362333,117.083436,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Two Black Sheep Burger Bar and Cafe,,,-34.488902,117.628347,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Little Bit Of Barker,,,-34.625828,117.661407,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Nic's Cafe & Catering,,,-34.626997,117.662082,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Massimo's Place,,pizza,-34.961053,117.355724,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Ocean and padock fish&chips,,,-35.02078,117.905444,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Den Burger,,burger,-34.959939,117.35424,Western Australia,OpenStreetMap amenity=fast_food via Overpass
The Gaffer,,burger,-35.024285,117.883752,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-34.992536,117.856068,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Zambrero,Zambrero,mexican,-35.002597,117.865618,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-34.362623,118.748122,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-33.281216,115.714612,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-33.336901,115.662123,Western Australia,OpenStreetMap amenity=fast_food via Overpass
