year,metric,percent,source
1995,Total selected sugar-sweetened beverages,35.7,ABS NNPAS sweetened beverages
1995,Total selected intense-sweetened beverages,8.5,ABS NNPAS sweetened beverages
1995,Total selected sugar- and intense-sweetened beverages,42.3,ABS NNPAS sweetened beverages
1995,Total selected beverages,44.4,ABS NNPAS sweetened beverages
2012,Total selected sugar-sweetened beverages,30.9,ABS NNPAS sweetened beverages
2012,Total selected intense-sweetened beverages,11.2,ABS NNPAS sweetened beverages
2012,Total selected sugar- and intense-sweetened beverages,40.2,ABS NNPAS sweetened beverages
2012,Total selected beverages,42.8,ABS NNPAS sweetened beverages
2023,Total selected sugar-sweetened beverages,20.6,ABS NNPAS sweetened beverages
2023,Total selected intense-sweetened beverages,11.0,ABS NNPAS sweetened beverages
2023,Total selected sugar- and intense-sweetened beverages,29.9,ABS NNPAS sweetened beverages
2023,Total selected beverages,35.0,ABS NNPAS sweetened beverages
2007,Did not meet fruit and vegetable recommendation,95.1,ABS NHS fruit and vegetable intake
2012,Did not meet fruit and vegetable recommendation,95.8,ABS NHS fruit and vegetable intake
2015,Did not meet fruit and vegetable recommendation,94.8,ABS NHS fruit and vegetable intake
2018,Did not meet fruit and vegetable recommendation,94.6,ABS NHS fruit and vegetable intake
2022,Did not meet fruit and vegetable recommendation,95.7,ABS NHS fruit and vegetable intake
