food_group,quintile,grams
Fruit,Q1 Most disadvantaged,180.3
Fruit,Q2,191.0
Fruit,Q3,203.9
Fruit,Q4,219.4
Fruit,Q5 Least disadvantaged,239.0

Vegetables,Q1 Most disadvantaged,174.1
Vegetables,Q2,187.0
Vegetables,Q3,195.7
Vegetables,Q4,207.1
Vegetables,Q5 Least disadvantaged,227.4

Grains and cereals,Q1 Most disadvantaged,224.6
Grains and cereals,Q2,226.0
Grains and cereals,Q3,233.1
Grains and cereals,Q4,241.5
Grains and cereals,Q5 Least disadvantaged,252.2

Meat & alternatives,Q1 Most disadvantaged,143.2
Meat & alternatives,Q2,150.4
Meat & alternatives,Q3,154.3
Meat & alternatives,Q4,160.6
Meat & alternatives,Q5 Least disadvantaged,166.0
