chain,outlets,coverage_note
McDonald's,971,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Subway,850,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
KFC,684,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Domino's,472,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Hungry Jack's,402,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Red Rooster,269,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Guzman y Gomez,159,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Oporto,150,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Zambrero,129,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
Grill'd,125,"Brand recorded for 4,904 of 11,249 OSM fast-food points"
